Checking and applying pending database migrations...

[4mSequelize CLI [Node: 22.18.0, CLI: 6.6.2, ORM: 6.37.8][24m

Loaded configuration file "src\config\sequelize-cli.js".
Using environment "development".
No migrations were executed, database schema was already up to date.
Database migrations are up to date
Database connection established
Toilet QR bootstrap completed: total=10 generated=0 skipped=10 failed=0
Server is running on port 5000
[6ad34fbc-c5ff-491f-bf84-9fe3914ea972] POST /api/v1/auth/refresh -> 200 350ms tenant=platform user=anonymous
[9424a256-fe29-4599-88ba-80e3f3eddf64] GET /api/v1/tasks/my?limit=50 -> 200 602ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=0bd3fced-f106-4009-9646-7594d7afd3fb
[fd9168e9-921f-4579-ae73-83acddd53244] GET /api/v1/notifications/my?limit=5 -> 200 1167ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=0bd3fced-f106-4009-9646-7594d7afd3fb
[1416b28e-19c6-4f7a-a43f-c4dd74e3b393] OPTIONS /api/v1/dashboard/overview -> 204 1ms tenant=platform user=anonymous
[50f4abd5-63d9-47ac-8ffb-97f9e232b121] OPTIONS /api/v1/inspections?page=1&limit=8 -> 204 1ms tenant=platform user=anonymous
[f9a3adb8-7e4d-49b4-8028-88003f9fd328] OPTIONS /api/v1/dashboard/trends -> 204 0ms tenant=platform user=anonymous
[2c1d3672-71c8-4b6d-a03c-a82bcc5cece4] OPTIONS /api/v1/dashboard/alerts?page=1&limit=8 -> 204 1ms tenant=platform user=anonymous
[515c74cd-cb55-4a47-97f6-9ef7b5ea3151] GET /api/v1/dashboard/alerts?page=1&limit=8 -> 200 1092ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[5d79a9a2-b167-4fb7-8e85-80ba6ab39743] GET /api/v1/inspections?page=1&limit=8 -> 200 1604ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[97c03f7f-d9a5-4ea7-8cc8-3c8949860cf9] GET /api/v1/dashboard/overview -> 200 1665ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[12033560-670b-4ecc-bf2b-4ff83a1f2251] GET /api/v1/dashboard/trends -> 200 1775ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[29588106-0589-48db-95fb-49b5600cb6ae] POST /api/v1/auth/login -> 200 578ms tenant=platform user=anonymous
[85916dd9-3b07-4d16-b0fc-2f47afa29603] POST /api/v1/auth/login -> 200 589ms tenant=platform user=anonymous
[64b9b7c1-4f1f-447f-b8f2-afec69fe3d00] POST /api/v1/auth/login -> 200 454ms tenant=platform user=anonymous
[9c148ac4-86a4-4466-b40c-bb4716a4af2e] GET /api/v1/tasks?limit=10 -> 200 320ms tenant=b1111111-1111-4111-8111-111111111111 user=666f2a4c-2217-48d1-b6a2-12b2b7474ef0
[3778ecdf-5ee1-462c-97da-3550b24f082a] GET /api/v1/tasks/c689ee5a-b08f-4a64-adb6-399c3801ed2a -> 200 300ms tenant=b1111111-1111-4111-8111-111111111111 user=666f2a4c-2217-48d1-b6a2-12b2b7474ef0
[8982c98c-ab20-4d8a-a3cc-2853d20ee331] GET /api/v1/tasks?limit=10 -> 200 387ms tenant=b1111111-1111-4111-8111-111111111111 user=81c852be-711a-4d51-af5b-6434ff81fdc7
[70b5a7e7-adcb-407f-93de-03236ce69ff0] GET /api/v1/tasks/c689ee5a-b08f-4a64-adb6-399c3801ed2a -> 200 352ms tenant=b1111111-1111-4111-8111-111111111111 user=81c852be-711a-4d51-af5b-6434ff81fdc7
[37cd6629-1b19-446d-9a97-f1a0c98b8043] GET /api/v1/tasks?limit=10 -> 200 312ms tenant=b1111111-1111-4111-8111-111111111111 user=9702f3cd-fd9c-4c7c-9be8-8c798136d7d3
[d045e2da-b28e-49b6-92ef-d7e373ed9fb4] GET /api/v1/tasks/c689ee5a-b08f-4a64-adb6-399c3801ed2a -> 200 291ms tenant=b1111111-1111-4111-8111-111111111111 user=9702f3cd-fd9c-4c7c-9be8-8c798136d7d3
[e57fd5d0-1676-40dd-a965-76508cb7276a] OPTIONS /api/v1/dashboard/overview -> 204 1ms tenant=platform user=anonymous
[8abcea38-c4f5-420f-b641-ed1297dd60b4] OPTIONS /api/v1/dashboard/trends -> 204 0ms tenant=platform user=anonymous
[d8dd89cb-e469-4a80-9b8e-f163433c7553] OPTIONS /api/v1/dashboard/alerts?page=1&limit=8 -> 204 0ms tenant=platform user=anonymous
[12788f61-7e6f-436a-9854-e168373ad5cd] OPTIONS /api/v1/inspections?page=1&limit=8 -> 204 1ms tenant=platform user=anonymous
[0a3d6a39-eba1-413f-9dc9-0c06be6a3b27] GET /api/v1/inspections?page=1&limit=8 -> 200 990ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[89fe42f7-4713-4e2e-900a-0e54f82eeaea] GET /api/v1/dashboard/trends -> 200 1088ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[34a3e60f-2af4-4bee-867d-982d216f9854] GET /api/v1/dashboard/alerts?page=1&limit=8 -> 200 1110ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
